Group 6,Area,Rotation,FTE,A trained,Skill,Transfer,Adv Role,Restrictions,IV,Fixed Requests,Flexible Requests
RN129,E,B2+3,1,,4,,,,,,
RN130,F,A05,1,Yes,5,,Code,,Yes,,
RN131,C,AB03,1,Yes,5,,Charge,,,,
RN132,E,A02,0.78,Yes,5,,Support,,,,
RN133,C,AB4,1,,3,,,,,,
RN134,E,B03,1,,4,,,,,,
RN135,E,A01,1,,4,,,,,,
RN136,D,B01,0.51,Yes,5,,Charge,,,,
RN137,C,B05,1,,4,,,,,,
RN138,D,A04,1,,3,,,,,,
RN139,F,A06,1,,3,,,,,,
RN140,E,B05,1,Yes,5,,Support,,,,
RN141,F,A01,1,Yes,4,,,,,,
RN142,C,A04,1,Yes,5,,,Yes,,,
RN143,E,B02,0.51,,5,Yes,Support,,,,
RN144,D,B06,1,Yes,5,Yes,Support,,,,
RN145,F,B06,1,Yes,5,,Support,,,,
RN146,F,A06,1,,4,,,,,,
RN147,F,A03,0.51,Yes,5,,,,,,
RN148,A ,C03,0.51,Yes,2,,,,,,
RN149,C,A01,1,,4,,,,,,
RN150,E,A02,1,Yes,5,,,,,,
RN151,F,A03,1,Yes,5,,Support,,,,
RN152,D,B04,1,,4,,,,,,
RN153,D,AB01,1,,4,,,,,,
RN154,A ,C04,1,Yes,1,,,Yes,,,
RN155,D,AB06,1,,4,,,,,,
RN156,F,A05,0.51,Yes,4,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Constraints,Soft,Soft,N/A,Hard,Hard,Hard,Hard,Soft w/Alert,Soft,Soft,Soft
