Group 5,Area,Rotation,FTE,A trained,Skill,Transfer,Adv Role,Restrictions,IV,Fixed Requests,Flexible Requests
RN103,C,,1,,3,,,,,3,
RN104,D,B02,1,Yes,5,,Support,,,,Support
RN105,C,,1,,4,,,,,4,
RN106,A,,0.52,Yes,1,,,,,,
RN107,F,B03,1,Yes,5,,,,,,
RN108,F,A06,1,Yes,4,Yes,,,,A,
RN109,D,B05,,,4,,,,,,
RN110,C,A04,1,Yes,5,,Code,,,,
RN111,D,B05,0.52,Yes,5,,Charge,,Yes,,Code
RN112,D,A03,1,,4,,,Yes,,,
RN113,F,B01,1,Yes,5,Yes,Support,,,,
RN114,E,B06,1,,4,,,,,,
RN115,E,AB01,1,,4,,,,,4,
RN116,C,B06,0.52,Yes,5,,Charge,,Yes,,
RN117,D,B02,1,Yes,5,,L Code,,,,
RN118,E,B05,0.78,Yes,5,,Code,Yes,,,
RN119,F,B03,1,,4,Yes,,,,,
RN120,E,A06,0.78,Yes,4,,,,,,
RN121,F,B04,,Yes,4,,,,,,
RN122,E,B02,1,Yes,5,,Support,,,B,
RN123,F,B04,0.78,,5,,Support,,,5,
RN124,E,AB06,1,,3,,,,,3,
RN125,D,B05,1,Yes,5,,L Code,,,,Support
RN126,C,B06,1,Yes,4,,,,,,
RN127,D,B01,1,Yes,5,,L Code,,,L Support,L Support
RN128,A,M05,1,Yes,,,,,,,
,,,,,,,,,,,
Constraints,Soft,Soft,N/A,Hard,Hard,Hard,Hard,Soft w/Alert,Soft,Soft,Soft
